Species,Latitude,Longitude
Quercus_purulhana,16.935961,-93.007252
Quercus_purulhana,16.978042,-93.10365
Quercus_purulhana,16.601866,-93.186005
Quercus_purulhana,16.863986,-93.106486
Quercus_purulhana,14.3415,-89.15894
Quercus_purulhana,16.967053,-93.135043
Quercus_purulhana,16.825091,-93.056734
Quercus_purulhana,16.918207,-93.008692
Quercus_purulhana,16.448701,-92.547641
Quercus_purulhana,16.950642,-93.033186
Quercus_purulhana,16.808929,-93.160115
Quercus_purulhana,16.832038,-93.138511
Quercus_purulhana,16.87615,-93.106988
Quercus_purulhana,16.813477,-93.080788
Quercus_purulhana,16.829405,-93.074183
Quercus_purulhana,16.850084,-93.190518
Quercus_purulhana,16.788397,-92.752116
Quercus_purulhana,13.715472,-86.453028
Quercus_purulhana,13.208583,-86.252222
Quercus_purulhana,16.995298,-93.061667
Quercus_purulhana,16.811511,-93.048826
Quercus_purulhana,16.84399,-93.034216
Quercus_purulhana,16.984876,-93.195943
Quercus_purulhana,14.376667,-89.305
Quercus_purulhana,16.910151,-93.082296
Quercus_purulhana,16.309453,-93.605553
Quercus_purulhana,16.939814,-93.093745
Quercus_purulhana,16.980238,-93.131446
Quercus_purulhana,16.809174,-93.146248
Quercus_purulhana,13.643306,-86.636778
Quercus_purulhana,13.725667,-86.439805
Quercus_purulhana,16.053924,-93.7426
Quercus_purulhana,16.975779,-93.160994
Quercus_purulhana,13.703667,-86.048361
Quercus_purulhana,16.479825,-93.13372
Quercus_purulhana,12.884444,-85.915833
Quercus_purulhana,13.281111,-86.6525
Quercus_purulhana,17.169167,-88.832222
Quercus_purulhana,13.233333,-86.233333
Quercus_purulhana,16.721846,-93.026922
Quercus_purulhana,16.686667,-88.968056
Quercus_purulhana,16.679722,-88.974167
Quercus_purulhana,16.868611,-89.050556
Quercus_purulhana,13.26666,-86.26666
Quercus_purulhana,13.21666,-86.26666
Quercus_purulhana,15.0975,-90.4272
Quercus_purulhana,14.576111,-89.406667
Quercus_purulhana,16.96666,-88.98333
Quercus_purulhana,17.05,-88.95
Quercus_purulhana,16.416667,-92.266667
Quercus_purulhana,16.827778,-93.095833
Quercus_purulhana,13.73333,-86.05
Quercus_purulhana,12.95,-86.35
Quercus_purulhana,16.509722,-91.773611
Quercus_purulhana,13.16666,-86.23333
Quercus_purulhana,13.71666,-86.06666
Quercus_purulhana,12.91666,-86.3
Quercus_purulhana,13.76666,-86.55
Quercus_purulhana,12.90833,-85.90833
Quercus_purulhana,13.01666,-86.35
Quercus_purulhana,16.494444,-91.516667
Quercus_purulhana,13.2,-86.25
Quercus_purulhana,12.98333,-86.36666
Quercus_purulhana,12.95,-86.33333
Quercus_purulhana,12.839906,-85.034783
Quercus_purulhana,13.0,-86.35
Quercus_purulhana,13.23333,-86.25
Quercus_purulhana,13.45,-86.56666
Quercus_purulhana,13.45,-86.56667
Quercus_purulhana,13.45,-86.57
Quercus_purulhana,12.9,-85.9
Quercus_purulhana,15.10305,-85.50222
Quercus_purulhana,14.11555,-87.19472
Quercus_purulhana,12.95,-86.31666
Quercus_purulhana,13.71666,-86.61666
Quercus_purulhana,14.93889,-87.64445
Quercus_purulhana,14.76667,-87.60833
Quercus_purulhana,15.00833,-87.54861
Quercus_purulhana,14.91944,-86.96806
Quercus_purulhana,13.75,-86.033333
Quercus_purulhana,13.7,-86.31666
Quercus_purulhana,13.7,-86.5
Quercus_purulhana,16.42,-91.85
Quercus_purulhana,16.527778,-91.801389
Quercus_purulhana,16.352778,-91.908333
Quercus_purulhana,16.754722,-92.971111
Quercus_purulhana,16.758333,-92.966667
Quercus_purulhana,16.86666,-89.08333
Quercus_purulhana,15.405,-91.15083
Quercus_purulhana,13.92833,-86.98361
Quercus_purulhana,14.04111,-87.05583
Quercus_purulhana,16.119444,-92.136111
Quercus_purulhana,15.25194,-87.07833
Quercus_purulhana,15.523333,-86.678611
Quercus_purulhana,15.702133,-90.356243
Quercus_purulhana,14.8364,-86.4556
